timestamp(ms),PL.pY
45833.19899362555,0
45933.19899362555,0
46033.19899362555,0
46133.19899362555,0
46233.19899362555,0
46333.19899362555,0
46433.19899362555,0
46533.19899362555,0
46633.19899362555,0
46733.19899362555,0
46833.19899362555,0
46933.19899362555,0
47033.19899362555,0
47133.19899362555,0
47233.19899362555,0
47333.19899362555,0
47433.19899362555,0
47533.19899362555,0
47633.19899362555,0
47733.19899362555,0
47833.19899362555,0
47933.19899362555,0
48033.19899362555,0
48133.19899362555,0
48233.19899362555,0
48333.19899362555,0
48433.19899362555,0
48533.19899362555,0
48633.19899362555,0
48733.19899362555,0
48833.19899362555,0
48933.19899362555,0
49033.19899362555,0
49133.19899362555,-1.654237151145935
49233.19899362555,-1.746124029159546
49333.19899362555,-1.6268869638442993
49433.19899362555,-1.4772675037384033
49533.19899362555,-1.3480536937713623
49633.19899362555,-1.1084866523742676
49733.19899362555,-1.0333250761032104
49833.19899362555,-0.9347713589668274
49933.19899362555,-0.796036958694458
50033.19899362555,-0.6877553462982178
50133.19899362555,-0.6216126680374146
50233.19899362555,-0.5943857431411743
50333.19899362555,-0.5942698121070862
50433.19899362555,-0.5702879428863525
50533.19899362555,-0.48807013034820557
50633.19899362555,-0.41361096501350403
50733.19899362555,-0.3572489619255066
50833.19899362555,-0.3176833987236023
50933.19899362555,-0.36608514189720154
51033.19899362555,-0.3496977388858795
51133.19899362555,-0.24635958671569824
51233.19899362555,-0.15689314901828766
51333.19899362555,-0.11839574575424194
51433.19899362555,-0.026456499472260475
51533.19899362555,0.00812381599098444
51633.19899362555,0.006482489872723818
51733.19899362555,0.04651990532875061
51833.19899362555,0.09527433663606644
51933.19899362555,0.08479584753513336
52033.19899362555,0.13160434365272522
52133.19899362555,0.20559120178222656
52233.19899362555,0.23774699866771698
52333.19899362555,0.27332261204719543
52433.19899362555,0.32784372568130493
52533.19899362555,0.3335054814815521
52633.19899362555,0.3540775775909424
52733.19899362555,0.3676072657108307
